word1,word2,frequency
"over","years",72
"health","worker",72
"training","programs",72
"health","board",72
"testimony","for",72
"the","brain",72
"funding","from",71
"social","workers",71
"cuts","would",71
"program","the",71
"had","the",71
"health","issues",71
"will","continue",71
"their","lives",71
"and","provide",71
"governors","scholarship",71
"system","that",71
"opportunities","for",71
"chronic","homelessness",71
"with","other",71
"and","educational",71
"cuts","and",71
"house","bill",71
"this","opportunity",70
"have","worked",70
"the","highest",70
"these","challenges",70
"loved","ones",70
"between","the",70
"while","the",70
"been","fortunate",70
"the","years",70
"family","members",70
"the","many",70
"programs","the",69
"this","evening",69
"for","health",69
"consider","the",69
"feel","that",69
"and","not",69
"youth","and",69
"the","probate",69
"community","colleges",69
"and","care",69
"persons","with",69
"because","the",69
"developmental","disabilities",69
"and","then",69
"this","would",69
"the","process",69
"your","support",69
"governor","malloys",69
"agency","operations",68
"homeless","and",68
"the","very",68
"veterans","mental",68
"the","long",68
"how","much",68
"over","million",68
"term","services",68
"that","these",68
"probate","court",68
"the","consequences",68
"believe","that",68
"governors","proposal",68
"the","arts",68
"medical","education",68
"cultural","competence",67
"hope","that",67
"address","the",67
"than","million",67
"which","has",67
"february","senator",67
"contact","information",67
"the","resources",67
"national","health",67
"and","recruitment",67
"state","department",67
"and","retention",67
"health","professional",67
"statewide","the",67
"and","social",67
"and","was",67
"outcomes","for",66
"service","and",66
"health","workforce",66
"our","program",66
"like","the",66
"students","are",66
"the","mission",66
"the","pcsw",66
"this","will",66
"the","amount",66
"adult","day",66
"living","centers",66
"developmental","services",65
"raise","awareness",65
"for","students",65
"community","care",65
"the","nation",65
"keep","the",65
"urge","the",65
"hearing","february",65
"that","connecticut",64
"promotion","and",64
"older","adults",64
"the","even",64
"provides","leadership",64
"state","innovation",64
"experiment","station",64
"their","communities",64
"private","funding",64
"care","professionals",64
"tourism","marketing",64
"work","for",64
"rather","than",64
"migrant","farm",64
"the","sbhcs",64
"are","also",64
"for","family",64
"connecticut","the",64
"the","agency",64
"walker","senator",64
"cost","effective",64
"hot","guide",64
"this","proposal",63
"not","the",63
"the","legislative",63
"the","local",63
"with","this",63
"health","occupations",63
"meet","those",63
"address","these",63
"dollars","the",63
"occupations","and",63
"technology","careers",63
"that","all",63
"the","end",63
"struggling","with",63
"farm","worker",63
"uconn","healths",63
"the","entire",63
"and","with",63
"eastern","connecticut",62
"you","can",62
"funded","since",62
"continuing","medical",62
"health","veterans",62
"are","able",62
"innovation","model",62
"our","mission",62
"connecticut","legal",62
"among","the",62
"the","world",62
"partnership","with",62
"with","intellectual",62
"local","level",62
"professions","students",62
"interprofessional","education",62
"for","her",61
"better","health",61
"our","nursing",61
"dissemination","and",61
"victims","and",61
"deliver","the",61
"scholarship","program",61
"competence","and",61
"careers","for",61
"interpreting","training",61
"given","the",61
"medical","interpreting",61
"ahec","centers",61
"was","not",61
"local","needs",61
"the","members",61
"based","training",61
"expand","and",61
"every","year",61
"the","residents",61
"our","services",60
"health","literacy",60
"extend","uconn",60
"the","child",60
"healths","reach",60
"these","individuals",60
"residential","services",60
"health","youth",60
"system","and",60
"professional","trainees",60
"these","children",60
"individuals","who",60
"make","the",60
"medical","and",60
"and","trainees",60
"and","what",60
"elm","street",60
"connecticut","childrens",60
"utilizes","federal",60
"the","total",60
"safe","and",60
"and","migrant",60
"and","respond",60
"aid","teen",60
"guide","provides",59
"protect","the",59
"are","more",59
"and","biotechnology",59
"last","years",59
"that","address",59
"stakeholders","together",59
"residents","annually",59
"with","all",59
"teen","health",59
"provides","residents",59
"will","result",59
"connecticut","hot",59
"and","integration",59
"worker","workforce",59
"statewide","services",59
"the","loss",59
"will","help",59
"about","health",59
"biotechnology","careers",59
"has","helped",59
"answer","any",59
"both","the",59
"they","were",59
"agencies","cultural",59
"than","residents",59
"corps","continuing",59
"and","many",59
"girls","club",59
"and","wellbeing",59
"the","medical",59
"leadership","for",59
"reducing","the",59
"are","working",59
"supports","and",58
"provides","statewide",58
"our","members",58
"are","very",58
"ask","you",58
"and","cultural",58
"bringing","collaborative",58
"the","judicial",58
"changes","the",58
"for","human",58
"legal","rights",58
"sexual","violence",58
"community","the",58
"the","individuals",58
"than","ever",58
"cut","and",58
"and","sustainability",58
"the","demographics",58
"arts","and",58
"that","was",58
"training","and",58
"injury","alliance",58
"college","and",57
"grants","community",57
"you","today",57
"june","cochairs",57
"literacy","homeless",57
"build","infrastructure",57
"funding","the",57
"our","work",57
"which","include",57
"support","interprofessional",57
"infrastructure","policy",57
"cuts","that",57
"february","dear",57
"first","aid",57
"professions","learners",57
"nursing","facilities",57
"families","who",57
"must","expand",57
"what","the",57
"collaborative","stakeholders",57
"the","greater",57
"pipeline","educational",57
"worker","access",57
"risk","for",57
"concerned","about",57
"schools","and",57
"workforce","must",56
"the","medicaid",56
"cut","the",56
"information","for",56
"tell","you",56
"the","mental",56
"connecting","students",56
"waiting","lists",56
"and","partnerships",56
"year","old",56
"main","street",56
"careers","and",56
"private","dollars",56
"the","parent",56
"see","the",56
"have","already",56
"and","public",56
"has","provided",56
"pay","for",56
"with","them",56
"state","government",56
"those","changes",56
"the","great",56
"health","system",56
"budget","cut",56
"around","the",56
"this","work",56
"connecticut","ahec",56
"model","grants",56
"ahecs","support",56
"families","with",56
"reach","statewide",56
"february","appropriations",56
"senator","gerratana",56
"health","first",56
"the","high",56
"need","the",55
"state","continue",55
"professionals","pipeline",55
"regional","ahec",55
"and","this",55
"the","challenges",55
"the","person",55
"with","any",55
"the","director",55
"prehealth","professions",55
"testimony","below",55
"years","old",55
"this","cut",55
"the","help",55
"costs","and",55
"your","convenience",55
"level","the",55
"there","was",54
"budget","the",54
"help","them",54
"which","are",54
"those","services",54
"the","purpose",54
"case","management",54
"the","citizens",54
"students","promotion",54
"dear","members",54
"safety","and",54
"youth","mental",54
"associated","with",54
"health","funded",54
"than","the",54
"workers","and",54
"for","them",54
"the","student",54
"center","and",54
"our","families",54
"our","local",53
"this","bill",53
"skills","and",53
"the","home",53
"for","prehealth",53
"the","funds",53
"our","programs",53
"legal","aid",53
"the","programs",53
"for","services",53
"many","years",53
"for","allowing",53
"for","elders",53
"the","town",53
"for","mental",53
"who","will",53
"the","financial",53
"which","was",53
"and","higher",52
"make","sure",52
"and","staff",52
"directly","supports",52
"work","that",52
"funding","will",52
"cutting","the",52
"even","more",52
"judicial","branch",52
"people","and",52
"the","court",52
"appropriations","and",52
"connecticut","humanities",52
"for","every",52
"time","when",52
"the","economic",52
"who","can",52
"network","directly",52
"the","education",52
"and","others",52
"the","dmhas",52
"and","most",52
"special","education",52
"services","with",52
"are","doing",52
"representative","dillon",52
"and","make",51
"these","issues",51
"continued","funding",51
"protection","and",51
"the","potential",51
"they","may",51
"much","more",51
"eastern","area",51
"asian","pacific",51
"prevention","and",51
"school","system",51
"rights","project",51
"disabilities","and",51
"connecticut","association",51
"affordable","housing",51
"million","dollars",51
"your","attention",51
"from","our",51
"college","elm",51
"this","time",51
"partnerships","that",51
"and","all",51
"partner","with",51
"their","family",51
"maintain","the",50
"which","will",50
"any","cuts",50
"please","consider",50
"away","from",50
"services","they",50
"these","funds",50
"community","members",50
"women","and",50
"three","years",50
"registered","voter",50
"improve","the",50
"proposed","cut",50
"action","council",50
"our","future",50
"school","students",50
"committee","members",50
"where","the",50
"the","family",50
"them","the",50
"that","she",50
"the","value",50
"supports","primary",50
"research","and",49
"operating","funds",49
"the","status",49
"for","community",49
"and","those",49
"for","persons",49
"may","not",49
"not","just",49
"budget","will",49
"families","are",49
"health","problems",49
"the","elimination",49
"the","majority",49
"address","community",49
"the","life",49
"its","funding",49
"that","children",49
"teen","pregnancy",49
"new","england",49
"program","utilizes",49
"eligible","for",49
"and","help",49
"trust","fund",49
"february","testimony",48
"that","support",48
"who","has",48
"demand","for",48
"connecticut","likewise",48
"gerratana","and",48
"are","struggling",48
"have","not",48
"needs","which",48
"them","and",48
"had","been",48
"girls","clubs",48
"budget","that",47
"have","access",47
"the","waiting",47
"request","that",47
"our","family",47
"our","clients",47
"million","from",47
"not","hesitate",47
"testimony","regarding",47
"need","and",47
"these","students",47
"funded","programs",47
"agencies","and",47
"this","important",47
"the","govemors",47
"education","for",47
"senior","housing",47
"support","groups",47
"the","boys",47
"additionally","the",47
"vulnerable","citizens",47
"questions","you",47
"our","budget",47
"the","departments",46
"services","provided",46
"family","school",46
"agricultural","experiment",46
"the","task",46
"assisted","living",46
"first","time",46
"invaluable","resources",46
"the","manufacturing",46
"provide","these",46
"know","the",46
"express","the",46
"student","body",46
"how","the",46
"appropriations","subcommittee",46
"know","how",46
"funding","cuts",46
"include","oral",46
"residents","and",46
"care","the",45
"have","more",45
"and","parents",45
"patients","and",45
"economy","and",45
"the","asian",45
"get","the",45
"and","new",45
"negatively","impact",45
"the","progress",45
"and","providing",45
"education","committee",45
"also","the",45
"resources","that",45
"time","for",45
"not","restored",45
"programs","have",45
"not","cut",45
"beyond","the",45
"federal","funding",45
"american","affairs",45
"dds","budget",45
"employment","and",45
"from","this",45
"for","youth",45
"connecticut","for",45
"mentally","ill",45
"will","also",45
"once","again",45
"bye","and",44
"net","services",44
"and","family",44
"based","services",44
"has","not",44
"the","proposal",44
"you","this",44
"connecticut","home",44
"centers","and",44
"through","our",44
"and","reducing",44
"substance","use",44
"the","important",44
"them","with",44
"hospital","and",44
"are","now",44
"issues","and",44
"the","issues",44
"grateful","for",44
"collegiate","health",44
"school","connection",44
"come","before",44
"advocacy","for",44
"teachers","and",44
"vice","president",44
"would","leave",44
"community","services",44
"the","largest",44
"increase","the",44
"should","not",43
"best","practices",43
"few","years",43
"thursday","february",43
"the","region",43
"june","february",43
"adults","and",43
"lives","and",43
"medical","center",43
"the","families",43
"special","needs",43
"state","parks",43
"has","made",43
"for","connecticuts",43
"provide","services",43
"patient","care",43
"through","these",43
"state","legislature",42
"services","programs",42
"skilled","nursing",42
"home","health",42
"essential","services",42
"could","have",42
"support","our",42
"abi","waiver",42
"case","manager",42
"budget","recommendations",42
"the","american",42
"community","thank",42
"and","water",42
"care","needs",42
"fund","the",42
"the","united",42
"community","leader",42
"recommendations","for",42
"say","that",42
"service","providers",42
"not","available",42
"their","needs",42
"safe","place",42
"not","afford",42
"ongoing","support",42
"charter","schools",42
"system","for",42
"proposed","midterm",42
"community","nonprofits",42
"with","special",42
"public","charter",42
"full","time",42
"pacific","american",41
"programs","like",41
"could","not",41
"next","year",41
"health","treatment",41
"providing","the",41
"the","role",41
"for","help",41
"concerning","the",41
"many","people",41
"academic","success",41
"caring","for",41
"intellectual","disabilities",41
"are","some",41
"found","that",41
"very","important",41
"supporting","the",41
"will","lose",41
"education","providers",41
"the","city",41
"has","had",41
"and","school",41
"personally","feel",41
"follows","the",41
"employees","and",41
"solar","youth",41
"many","other",41
"for","him",41
"respite","program",40
"local","and",40
"and","also",40
"restored","its",40
"last","week",40
"that","uconn",40
"board","member",40
"our","school",40
"plan","for",40
"assembly","appropriations",40
"additional","funding",40
"hours","and",40
"and","would",40
"childcare","learning",40
"help","the",40
"experience","that",40
"and","youth",40
"and","tourism",40
"court","system",40
"dmhas","and",40
"and","can",40
"those","with",40
"and","continue",40
"take","the",40
"diagnosed","with",40
"all","state",40
"the","statewide",40
"conservation","and",40
"family","support",40
"million","for",39
"more","likely",39
"agency","operating",39
"care","teams",39
"nonprofit","alliance",39
"off","the",39
"were","able",39
"task","force",39
"secondary","education",39
"early","care",39
"are","often",39
"and","any",39
"and","maintain",39
"the","commissioner",39
"permanent","supportive",39
"medical","services",39
"several","years",39
"public","and",39
"services","budget",39
"catholic","charities",39
"across","connecticut",39
"the","age",39
"that","time",39
"family","justice",39
"for","themselves",39
"further","cuts",39
"young","adult",39
"regional","tourism",39
"day","services",39
"leave","for",39
"the","five",39
"boards","and",39
"they","provide",39
"the","skills",39
"prevention","network",39
"that","make",39
"the","private",39
"fair","housing",39
"appreciate","the",39
"additional","information",38
"unreplaceable","void",38
"cut","will",38
"meeting","the",38
"what","they",38
"senator","kane",38
"void","this",38
"continued","support",38
"the","wellbeing",38
"the","legal",38
"the","council",38
"with","multiple",38
"committee","and",38
"rape","crisis",38
"the","abi",38
"and","had",38
"approximately","million",38
"will","impact",38
"health","the",38
"making","the",38
"for","some",38
"school","districts",38
"money","follows",38
"dmhas","budget",38
"the","critical",38
"the","second",38
"imperative","that",38
"childhood","budget",38
"the","human",38
"per","week",38
"not","express",38
"for","new",38
"their","educational",38
"and","offer",38
"consequences","and",38
"take","care",38
"the","respite",38
"juvenile","justice",38
"help","with",38
"after","the",38
"this","has",38
"will","only",38
"means","that",38
"and","urge",38
"and","there",37
"connecticut","fair",37
"other","state",37
"and","treatment",37
"has","proposed",37
"throughout","connecticut",37
"puerto","rican",37
"our","funding",37
"hope","you",37
"and","future",37
"those","that",37
"and","dental",37
"pregnancy","prevention",37
"tel","fax",37
"very","detrimental",37
"medicaid","program",37
"wouldnt","have",37
"that","funding",37
"the","goal",37
"dont","have",37
"their","loved",37
"citizens","and",37
"issues","that",37
"and","training",37
"please","continue",37
"its","doors",37
"has","already",37
"connecticut","students",37
"the","day",37
"the","reason",37
"program","was",37
"young","adults",37
"million","cut",37
"and","developmental",37
"benefit","the",37
"office","extend",37
"the","success",37
"about","how",37
"are","currently",37
"dental","medicine",37
"again","thank",37
"needed","for",37
"school","this",37
"the","line",37
"uconn","and",37
"community","action",37
"very","difficult",36
"their","work",36
"abuse","prevention",36
"any","further",36
"very","much",36
"connecticut","mental",36
"the","average",36
"economic","impact",36
"providing","students",36
"and","providers",36
"and","revenue",36
"tax","revenue",36
"budget","this",36
"any","other",36
"worked","with",36
"and","who",36
"and","now",36
"family","resource",36
"quality","and",36
"emergency","departments",36
"housing","center",36
"and","adult",36
"not","been",36
"funding","has",36
"are","available",36
"negative","impact",36
"with","these",36
"improving","the",36
"for","medicaid",36
"important","research",36
"group","home",36
"can","access",36
"services","dss",36
"before","that",36
"most","importantly",36
"submit","testimony",36
"and","live",35
"program","this",35
"increasing","numbers",35
"healthcare","system",35
"which","would",35
"and","day",35
"youth","center",35
"where","they",35
"intellectual","and",35
"and","human",35
"state","employees",35
"private","sector",35
"training","for",35
"our","current",35
"parents","that",35
"and","need",35
"the","racs",35
"and","federal",35
"esteemed","members",35
"when","you",35
"permanent","commission",35
"open","its",35
"trainees","dissemination",35
"united","states",35
"illness","and",35
"science","and",35
"program","responds",35
"ready","for",35
"services","including",35
"with","her",35
"grant","funding",35
"neighborhood","youth",35
"childhood","education",35
"supports","the",35
"counseling","and",35
"state","that",35
"resource","centers",35
"will","need",35
"and","development",35
"are","here",35
"the","case",35
"asking","you",35
"seek","care",35
"for","and",35
"and","without",35
"that","benefit",35
"grants","for",35
"the","dss",35
"these","important",35
"that","could",35
"soil","and",35
"out","the",35
"hard","work",35
"our","agency",35
"accessibility","and",34
"our","schools",34
"she","has",34
"receive","the",34
"the","year",34
"has","the",34
"were","not",34
"network","ctahec",34
"difficult","for",34
"the","young",34
"social","service",34
"oak","hill",34
"street","hartford",34
"services","these",34
"ctahec","and",34
"families","that",34
"connecticut","will",34
"are","making",34
"respite","care",34
"the","client",34
"program","ofce",34
"services","will",34
"the","neighborhood",34
"fer","the",34
"achievement","gap",34
"which","allowed",34
"without","this",34
"that","school",34
"medicine","and",34
"will","negatively",34
"tobacco","control",34
"this","change",34
"our","patients",34
"restore","the",34
"with","biac",34
"living","with",34
"nurturing","families",34
"into","one",34
"community","residential",34
"been","cut",34
"elementary","and",34
"for","early",34
"and","limit",34
"grant","program",34
"people","like",34
"research","based",34
"and","economic",34
"these","barriers",34
"service","learning",34
"that","many",34
"indirect","costs",34
"hospitals","and",34
"conservation","districts",34
"budget","february",34
"this","was",33
"technical","assistance",33
"family","caregivers",33
"care","without",33
"valuable","skills",33
"organization","that",33
"advocacy","and",33
"already","been",33
"needs","the",33
"educational","experiences",33
"homes","and",33
"you","vote",33
"please","help",33
"insurance","coverage",33
"budget","good",33
"cared","for",33
"and","secondary",33
"success","and",33
"skills","such",33
"and","speak",33
"faced","with",33
"the","latino",33
"are","ready",33
"these","factors",33
"multiple","jobs",33
"centers","are",33
"ask","for",33
"addresses","the",33
"are","many",33
"service","agencies",33
"group","homes",33
"and","people",33
"assistance","and",33
"the","president",33
"voices","for",33
"and","patients",33
"sbhcs","can",33
"you","that",33
"across","all",33
"students","have",33
"the","ofce",33
"are","services",33
"and","neglect",33
"our","contract",33
"and","unreplaceable",33
"your","continued",33
"water","conservation",33
"the","rest",33
"benefit","from",33
"most","important",33
"deal","with",33
"the","reduction",33
"short","term",33
"when","students",33
"financial","support",33
"has","also",33
"and","nurses",33
"aging","services",33
"restore","funding",33
"ever","before",33
"more","difficult",33
"machining","program",32
"through","this",32
"increasing","the",32
"the","rst",32
"governor","has",32
"biac","has",32
"maintaining","the",32
"members","ofthe",32
"factors","are",32
"minimize","the",32
"have","also",32
"abuse","services",32
"service","delivery",32
"strategy","for",32
"will","make",32
"budget","but",32
"children","the",32
"they","bring",32
"affect","the",32
"will","significantly",32
"work","schedules",32
"learning","that",32
"and","statewide",32
"deep","cuts",32
"education","these",32
"connecticuts","children",32
"bring","with",32
"volunteer","service",32
"memorial","hospital",32
"that","may",32
"have","any",32
"legislature","has",32
"contract","with",32
"live","with",32
"child","development",32
"colleges","and",32
"contracting","out",32
"connecticuts","economy",32
"same","time",32
"fatherhood","initiative",32
"the","towns",32
"civil","rights",32
"resources","for",32
"our","citizens",32
"violence","services",32
"our","son",32
"are","asking",32
"student","the",32
"far","more",32
"and","culture",32
"meet","their",32
"not","function",32
"planning","and",32
"learning","all",32
"per","day",32
"organizations","and",32
"services","dmhas",32
"different","health",32
"for","additional",32
"look","forward",32
"budget","would",32
"their","childs",32
"cultural","sensitivity",32
"committee","for",32
"university","that",32
"people","are",32
"and","quality",32
"and","her",32
"have","helped",32
"community","providers",32
"other","states",32
"the","creation",32
"testimony","submitted",32
"assure","that",32
"the","middletown",32
"connecticut","alliance",32
"independence","unlimited",32
"that","place",31
"and","she",31
"attend","the",31
"that","provide",31
"effective","approach",31
"united","way",31
"there","will",31
"important","work",31
"allows","students",31
"cut","those",31
"amongst","our",31
"work","together",31
"this","line",31
"vacuum","when",31
"classroom","the",31
"these","obstacles",31
"brought","into",31
"the","chance",31
"funding","levels",31
"manufacturing","machining",31
"learned","and",31
"bill","will",31
"the","benefits",31
"those","hours",31
"states","economy",31
"president","and",31
"learning","projects",31
"for","state",31
"and","research",31
"our","youth",31
"and","esteemed",31
"connecticut","department",31
"and","these",31
"school","social",31
"closely","with",31
"coordinate","services",31
"the","idea",31
"know","what",31
"kane","representative",31
"testimony","concerning",31
"greater","hartford",31
"year","this",31
"this","grant",31
"bring","their",31
"every","dollar",31
"and","ask",31
"for","long",31
"physicians","and",31
"hearing","testimony",31
"ability","beyond",31
"state","has",31
"dss","budget",31
"respectfully","submitted",31
"for","each",31
"legislative","commission",31
"concerns","with",31
"madonna","place",31
"are","critical",31
"options","for",31
"health","conditions",31
"help","our",31
"for","victims",31
"not","allow",31
"however","the",31
"and","puerto",31
"who","utilize",31
"care","within",31
"leadership","volunteer",31
"critical","services",31
"today","have",31
"basic","needs",31
"economic","development",31
"not","make",31
"social","worker",31
"the","elderly",31
"more","stress",31
"centers","offer",31
"care","provide",31
"problems","all",31
"not","readily",31
"she","had",31
"serve","the",31
"services","those",31
"the","necessary",31
"the","economy",31
"job","and",31
"agencies","that",31
"injuries","provide",30
"cut","funding",30
"are","all",30
"small","amount",30
"have","done",30
"therefore","being",30
"cut","this",30
"with","his",30
"husband","and",30
"sure","that",30
"private","providers",30
"residential","care",30
"school","door",30
"availability","therefore",30
"centerssbhcs","are",30
"fears","health",30
"utilize","sbhcs",30
"too","difficult",30
"identifiable","additionally",30
"acute","conditions",30
"provide","preventive",30
"full","funding",30
"restore","these",30
"offer","health",30
"and","some",30
"students","cross",30
"family","impacts",30
"effective","and",30
"address","acute",30
"received","from",30
"hartford","and",30
"access","and",30
"sbhcs","schools",30
"the","level",30
"the","overall",30
"place","increasing",30
"healthcare","disparities",30
"has","increased",30
"dillon","thank",30
"health","rst",30
"only","the",30
"limit","staff",30
